1248,1007,1520,1007,1520,1035,1248,1035,0.9993623
192,595,416,595,416,626,192,626,0.99936026
1296,826,1504,826,1504,903,1296,903,0.9992223
912,549,1232,549,1232,577,912,577,0.99919647
352,670,864,670,864,693,352,693,0.9991103
1360,1125,1600,1125,1600,1155,1360,1155,0.9991048
80,1133,544,1133,544,1158,80,1158,0.99909353
784,409,992,409,992,444,784,444,0.9990922
736,298,832,298,832,379,736,379,0.9990816
352,809,480,809,480,832,352,832,0.9990778
352,718,864,718,864,739,352,739,0.99907374
1280,923,1360,923,1360,1006,1280,1006,0.9990675
720,1121,1088,1121,1088,1140,720,1140,0.9990607
1024,644,1440,644,1440,670,1024,670,0.99905986
352,740,864,740,864,759,352,759,0.9990596
352,786,864,786,864,807,352,807,0.9990578
352,762,864,762,864,783,352,783,0.9990569
912,643,944,643,944,671,912,671,0.9990553
192,644,864,644,864,669,192,669,0.9990471
352,695,864,695,864,714,352,714,0.99904543
208,309,480,309,480,334,208,334,0.99904436
192,500,224,500,224,531,192,531,0.9990427
304,551,544,551,544,578,304,578,0.9990402
1376,346,1472,346,1472,360,1376,360,0.9990232
720,1142,1104,1142,1104,1160,720,1160,0.9990225
1264,304,1472,304,1472,321,1264,321,0.99901354
1376,364,1472,364,1472,380,1376,380,0.9990079
1424,919,1504,919,1504,1005,1424,1005,0.99900323
1056,912,1248,912,1248,941,1056,941,0.99899787
912,598,1424,598,1424,623,912,623,0.99899286
1376,406,1424,406,1424,421,1376,421,0.99898654
1376,387,1472,387,1472,403,1376,403,0.998978
304,506,688,506,688,533,304,533,0.99896705
192,354,448,354,448,374,192,374,0.99896693
992,303,1072,303,1072,382,992,382,0.99896526
896,502,1168,502,1168,531,896,531,0.9989562
1376,326,1472,326,1472,341,1376,341,0.99895513
